Translation,Target
Coffee is a natural diuretic. Drinking coffee with oily and junk food can cause dehydration. This can result in acne.,1
"Drinking too much coffee can increase acne problems. Acne is mainly caused by hormonal imbalance, which is caused by unhealthy lifestyle and unhealthy diet. This is why doctors and experts recommend avoiding oily, sugary, spicy and processed foods that increase body heat and cause acne. Coffee contains a mixture of milk, caffeinated coffee, sugar and butter, which creates heat in the body. This can lead to acne.",1
You can wash your face by mixing neem leaf powder with water. It will remove the acne and the burning sensation caused by the acne will also be removed. It is an effective way to get rid of acne.,1
Neem oil works well to keep the skin healthy. You can use neem oil to keep the skin youthful while maintaining the elasticity of the skin.,1
"Seven patients were given fixed doses of two drugs, brincidofovir and tecovirimat, Lancet reports. Four of them are male and three are female. Health workers were also among the victims. Medicines were administered as capsules, no injections were given. That medicine works. The infection heals quickly. So now the scientists are thinking about whether those two drugs can be applied to the victims again. Brincidophobia is sold under the brand name Tembexa. Antiviral drugs used to treat smallpox. Scientists have claimed that even patients with Ebola were treated with this drug.",1
Chemotherapy is a type of treatment that destroys cancer cells and stops them from spreading.,0
Dr Trevor sayers treatment and cure all diseases cancer pain herpes kidney disease prevention cyst fibroid fever erectile dysfunction stress stomach virus hepatitis std asthma arthritis prostate hiv virus stress stomach virus stroke asthma arthritis prostate hiv autisium,1
"Monkeypox is an infectious viral disease that can occur in humans and some other animals.[1] Symptoms include fever, swollen lymph nodes, and a rash that forms blisters and then crusts over.[",0
"There are no treatments specifically for monkeypox. But because the viruses that cause monkeypox and smallpox are similar, antiviral drugs developed to protect against smallpox may be used to treat monkeypox effectively",1
"Monkeypox is a viral zoonosis (a virus transmitted to humans from animals) with symptoms similar to those seen in the past in smallpox patients, although it is clinically less severe. With the eradication of smallpox in 1980 and subsequent cessation of smallpox vaccination, monkeypox has emerged as the most important orthopoxvirus for public health. Monkeypox primarily occurs in central and west Africa, often in proximity to tropical rainforests, and has been increasingly appearing in urban areas. Animal hosts include a range of rodents and non-human primates.",0
"Monkeypox symptoms usually start within 3 weeks of exposure to the virus. If someone has flu-like symptoms, they will usually develop a rash 1-4 days later. Know the symptoms of monkeypox and when to contact a healthcare professional.",1
"As researchers at the Minnesota Department of Health in St. Paul were sequencing samples of the monkeypox virus a few months ago, they made a surprising discovery. In one sample collected from an infected Person, a large chunk of the virus’s genome was missing, and another chunk had moved to an entirely different spot in the sequence.",1
"Monkeypox virus (MPV, MPXV, or hMPXV) is a species of double-stranded DNA virus that causes monkeypox in humans and other mammals. The genome is approximately 190 kb.[1] Monkeypox virus is an orthopoxvirus, which makes it closely related to the variola (VARV), cowpox (CPX), and vaccinia (VACV) viruses. It is not a direct ancestor to, nor a direct descendant of, the variola virus, which causes smallpox.",1
Monkeypox is a viral zoonotic disease that occurs primarily in tropical rainforest areas of central and west Africa and is occasionally exported to other regions. An antiviral agent developed for the treatment of smallpox has also been licensed for the treatment of monkeypox,0
"Out of more than 57,000 people confirmed to have had monkeypox infections, at least 22 have died, representing a death rate of about 0.04%. That's significantly less than the 1–3% that has been reported during outbreaks caused by a similar viral strain in West Africa over the past few decades.",1
"Currently, there is no specific treatment approved for monkeypox virus infection. However, there are several antiviral medications used to treat smallpox and other conditions that may help patients with monkeypox infection",0
"Monkeypox is caused by the monkeypox virus, a member of the same family of viruses as smallpox, although it is much less severe and experts say chances of infection are low.",0
"
Monkeypox symptoms

    Fever.
    Chills.
    Swollen lymph nodes.
    Exhaustion.
    Muscle aches and backache.
    Headache.
    Respiratory symptoms (e.g. sore throat, nasal congestion, or cough)",1
Monkeypox is a rare disease caused by infection with the monkeypox virus which is part of the same family of viruses as smallpox.,0
"The rash will go through several stages, including scabs, before healing. The rash can initially look like pimples or blisters and may be painful or itchy.",0
"At this time, data suggest that gay, bisexual, and other men who have sex with men make up the majority of cases in the current monkeypox outbreak. However, anyone, regardless of sexual orientation or gender identity, who has been in close, Personal contact with someone who has monkeypox is at risk.",0
"To reach the new proposed global 95–95–95 targets set by UNAIDS, we will need to redouble our efforts to avoid the worst-case scenario of 7.7 million HIV-related deaths over the next 10 years, increasing HIV infections due to HIV service disruptions during COVID-19, and the slowing public health response to HIV.",0
"Symptomatic HIV infection

    Fever.
    Fatigue.
    Swollen lymph nodes — often one of the first signs of HIV infection.
    Diarrhea.
    Weight loss.
    Oral yeast infection (thrush)
    Shingles (herpes zoster)
    Pneumonia.",0
"HIV treatment (antiretroviral therapy or ART) involves taking medicine as prescribed by a health care provider. HIV treatment reduces the amount of HIV in your body and helps you stay healthy. There is no cure for HIV, but you can control it with HIV treatment.",0
"Currently, there's no cure for HIV/AIDS. Once you have the infection, your body can't get rid of it. However, there are many medications that can control HIV and prevent complications. These medications are called antiretroviral therapy (ART). Everyone diagnosed with HIV should be started on ART, regardless of their stage of infection or complications.",0
"HIV (human immunodeficiency virus) is a virus that attacks the body's immune system. If HIV is not treated, it can lead to AIDS (acquired immunodeficiency syndrome). There is currently no effective cure.",0
"Ask a HIV AIDS Specialist Online

    Dr. Sushil Kakkar. HIV/AIDS specialist.
    Dr. Ravinder Kaur Sachdeva. HIV/AIDS specialist.
    Dr. Rajesh Deshwal. HIV/AIDS specialist.
    Dr. Rakesh Kumar Bahunuthula. HIV/AIDS specialist.
    Dr. Davie Wong. HIV/AIDS specialist.
    Dr. Basti Bharatesh Devendra. ...
    Dr. Atishay Bukharia. ...
    Dr. Meha Malhotra.",0
"lack of energy or fatigue.
    weight loss.
    frequent low-grade fevers and night sweats.
    frequent yeast infections (in the mouth)
    skin rashes or flaky skin that is hard to heal.
    short-term memory loss.",0
"Since the beginning of the epidemic, 84.2 million [64.0–113.0 million] people have been infected with the HIV virus and about 40.1 million [33.6–48.6 million] people have died of HIV. Globally, 38.4 million [33.9–43.8 million] people were living with HIV at the end of 2021.",0
38.4 million [33.9 million–43.8 million] people globally were living with HIV in 2021. 1.5 million [1.1 million–2.0 million] people became newly infected with HIV in 2021. 650 000 [510 000–860 000] people died from AIDS-related illnesses in 2021.,0
"The Strategy sets bold targets for ending the HIV epidemic in the United States by 2030, including a 75% reduction in new HIV infections by 2025 and a 90% reduction by 2030.",0
"You can use strategies such as abstinence (not having sex), never sharing needles, and using condoms the right way every time you have sex. You may also be able to take advantage of HIV prevention medicines such as pre-exposure prophylaxis (PrEP) and post-exposure prophylaxis (PEP).",1
"HIV (human immunodeficiency virus) is a virus that attacks the immune system. HIV destroys CD4 cells (also called T cells). These cells fight germs and help prevent some kinds of cancers. In HIV, the immune system becomes weaker, making it harder for the body to fight off infections and some kinds of cancers.",0
"Vaccines provide immunity against various dangerous diseases like tetanus, diphtheria, pertussis (whooping cough), polio, measles, hepatitis B, haemophilus influenza type b (which causes some meningitis and pneumonia), yellow fever, tuberculosis, etc.",0
"Required if traveling from a country with risk of YF virus transmission and ≥1 year of age, including transit in an airport located in a country with risk of YF virus transmission.1",0
The yellow fever virus is found in tropical and subtropical areas of Africa and South America. The virus is spread to people by the bite of an infected mosquito.,1
"In areas where yellow fever is common and vaccination is uncommon, early diagnosis of cases and immunisation of large parts of the population is important to prevent outbreaks. Death occurs in up to half of those who get severe disease.",0
Yellow fever vaccine is recommended for Persons aged ≥ 9 months who are travelling to or living in areas at risk for yellow fever virus transmission in South America and Africa,0
People infected with yellow fever virus are infectious to mosquitoes (referred to as being 'viraemic') shortly before the onset of fever and up to 5 days after onset,0
The majority of Persons infected with yellow fever virus have no illness or only mild illness.,0
"No specific treatments have been found to benefit patients with yellow fever. Whenever possible, yellow fever patients should be hospitalised for supportive care and close observation. Treatment is symptomatic.",0
Yellow fever patients should be protected from further mosquito exposure (staying indoors and/or under a mosquito net) for up to 5 days after the onset of fever.,0
"Active immunity to Yellow fever is induced by a live, attenuated virus that encourages the development of endogenously generated antibodies. Active immunisation against yellow fever is achieved using the yellow fever vaccine. At least 1000 mouse LD50 units are contained in each dose (typically 0.5 ml).",0
"Yellow fever can be prevented with a vaccine - yet it's a disease that claims the lives of an estimated 30,000 - 60,000 people each year.",0
"In 2016, we vaccinated more than a million people in DRC as part of the Ministry of Health’s response to an outbreak that began in Angola. The outbreak exposed the fragility of the vaccine supply.",0
"Giving people a fraction of a yellow fever vaccine is effective and could help vaccinate millions more people during emergencies, according to results of a recent study led by Médecins Sans Frontiéres’ (MSF) research arm Epicentre, published in The Lancet.",0
"This clinical trial marks the first time that all four WHO prequalified yellow fever vaccines have been assessed in the same study. The study used the only four existing WHO-approved vaccines, which are derived from multiple strains of the virus: 17DD (Bio-Manguinhos/Fiocruz, Brazil), 17D-213 (Federal State Unitary Enterprise of Chumakov Institut of Poliomyelitis and Viral Encephalitides, Russia), 17D-204 (Institut Pasteur de Dakar, Senegal), and 17D-204 (Sanofi Pasteur, France).",0
"There’s no cure for yellow fever, so prevention is extremely important. A single dose of the vaccine can protect a Person for life. Unfortunately, because it takes about 12 months to produce and it is difficult to forecast the quantities that will be needed each year to respond to outbreaks, there are often shortages of the vaccine.",0
"Yellow fever is endemic to 34 countries in Africa. Since 2000, MSF teams have responded to yellow fever epidemics in Angola, Democratic Republic of Congo (DRC) - including in 2015-16 during DRC's largest outbreak in 30 years - Guinea, Sudan, Sierra Leone, Central African Republic, and Chad, among others.",0
"“Israel is an occupying power and has millions of vaccines. Palestine is the occupied territory and has barely a few thousand. As a medic, I don’t really care who sorts this out. As a medic, I do care deeply that the most vulnerable are prioritised.”",0
"Travellers to Bangladesh are at risk of several mosquito-borne illnesses, including Zika, dengue fever and lymphatic filariasis. Consider getting vaccinated against Japanese encephalitis, and talk to a Canadian Travel Clinics adviser about malaria. It is possible to contract leishmaniasis from sandflies in Bangladesh. Protect yourself against bug bites by wearing clothing that covers as much skin as possible, using a reliable insect repellent and sleeping under a bed net.",0
"There is no risk of yellow fever in Bangladesh, but depending on your travel plans, you may need to prove you have been vaccinated against it when you enter Bangladesh. Talk to our experts about your itinerary to help you decide whether you need a certificate, or a shot.",0
"YF-VAX is a vaccine used for the prevention of yellow fever in Persons 9 months of age and older in the following categories: Persons living in or traveling to yellow fever endemic areas, Persons traveling internationally through countries with yellow fever, and laboratory Personnel who handle virulent yellow fever virus or concentrated preparations of the yellow fever vaccine virus strains.",0
"YF-VAX should not be given to an individual who has experienced a serious allergic reaction to eggs, egg products, or to any component of the vaccine (including gelatin). A severe allergic reaction (e.g., anaphylaxis) may occur following the use of YF-VAX, even in individuals with no prior history of hypersensitivity to the vaccine components.",0
"Black cumin helps lower cholesterol, has cancer fighting properties, helps kill bacteria",1
"We treat with homemade natural medicines made in Unani and Ayurvedic formula with 100% safe and effective all natural and herbal ingredients. After completing the three month course, inshallah you will be completely cured.",1
"Mushroom is a chlorophyll-free fungal plant and a new type of vegetable that is completely halal, tasty, nutritious and full of high nutritional and medicinal properties. It contains 25-30% protein which is highly refined and pure. It contains useful sugars and fats. That is why mushrooms act as preventive and antidote for various complex diseases",1
"Everyone knows that coconut oil is very beneficial for hair and skin. But it is a natural antibiotic that many people don't know about. According to experts, aromatic coconut oil is also beneficial in curing any type of infection or phlegm. For this reason, they also suggest cooking food with coconut oil.",1
"Aloe vera is not only good for the skin. It is also beneficial for improving digestion, teeth and skin infections.",1
"Dates are unmatched for flavor enhancement. Many children do not want to eat that much, giving them regular dates will bring back the taste. Soak relatively hard dates in water (overnight) and consume that water on an empty stomach to relieve constipation. Fresh dates are soft and fleshy which is easily digested.",0
"Reduces the risk of heart disease Pomegranate reduces the risk of cholesterol in the body. It increases blood circulation and reduces the risk of heart disease. Improves memory Pomegranate helps in improving memory. And because of this it is also beneficial for patients like Alzheimer's. Increase Hemoglobin Pomegranate contains many nutrients, which increase the level of hemoglobin in the body. It plays a role in eliminating anemia and various blood problems.",0
"The first symptom of dengue is a sudden high fever. Feeling very cold, severe body aches, feeling lethargic and tired. Fever can range from 100 to 102 degrees Fahrenheit. However, if not treated quickly, the fever increases rapidly.",0
The type of allele salsify contained in onion sprouts helps reduce the risk of cancer in the body. Sulfur present in onion sprouts regulates the sugar level in the body which is very beneficial for diabetic patients. The carotene in it helps to improve eyesight. It is rich in vitamin A-O which helps in keeping the eyes healthy. Onion sprouts are very useful in treating various types of flu and colds. It is effective in reducing colds and treating winter colds.,0
"HIV not only affects your body but also your skin – Yes, there are a few skin symptoms which could be the first sign to alarm you of suffering from AIDS. Blistering rashes, Thrush and Molluscum contagiosum are the skin conditions which indicate that you may be HIV positive. In such a case, you must get tested immediately.",0
Don’t let someone like this stop you from living life. HIV is not a death sentence and despite being infected life can be as full of as much adventure and longevity as you want!,0
"Winters are tough for #asthma sufferers. At this time, cold and cold weather, flying dust, dry air, sweeping the house or coming in contact with pollen molecules of flowers, the patient often develops asthma. Viral infections, colds, flu are more common. Any infection can aggravate asthma patients' problems. Therefore, when winter comes, asthmatic patients need advance preparation. At the beginning of winter, the weather temperature fluctuates rapidly. So many people get sick at the beginning of the change of season. Be careful at this time.",0
"Continue to breastfeed or bottle feed the baby. If the child vomits, you can feed little by little. Liquid drinks can include chira water, rice starch, or canned water. You can add a little salt to the rice flour. Give small sips of water between meals for babies who are on formula or solid food. Feed the baby every three to four hours. It is better to eat little food at a time rather than giving too much food at once",0
The mineral content of Kadbel is beneficial for diabetic patients. Kadbel is used in Ayurvedic treatment of diabetes. Kadbel regulates body temperature and provides nerve energy. Kadbel is used as a stimulant and diuretic in Ayurveda. Eating this fruit regularly protects the kidneys. Kadbel acts as a liver and heart booster.,1
"Ginger does not match headache relief. This is due to inhibition of 'prostaglandin synthesis' which is used in non-aspirin analgesics. So when the headache starts, take a little ginger and start chewing. It will relieve headache quickly. Apart from this, you can boil a cup of water and add a little ginger to it and boil it with a little honey and drink ginger tea. This will also relieve headache quickly.",1
It is possible to get rid of headaches by eating sweet pumpkin seeds. Because sweet pumpkin contains a lot of magnesium sulfate which works to relieve headaches.,1
"Sometimes the headache starts due to the weather, dust, and sometimes the headache also starts due to mental stress. Chew a handful or two of almonds to reduce all these types of pain. Nutmeg contains 'salicin' which acts as a pain reliever and cures pain faster.",1
"Eggplant benefits and nutrients are abundant. Many people think that eggplant has no quality. There is no basis for this saying because eggplant has many nutritional properties. Eggplant is a very familiar vegetable. We use eggplant in different ways in our daily cooking. Eggplant is widely used in Bhatta Bhaji cooking. This vegetable is available throughout the year in our country. Eggplant is grown in almost all regions. Eggplant provides various benefits to our body. Eggplant can solve many physical problems like high blood pressure, diabetes, heart problems.",0
"Potatoes are also very useful for cosmetic purposes. Potatoes contain vitamin C, fiber, vitamin B6, iron and potassium which can be useful in skin care in various ways. Potatoes are also very beneficial for skin and hair.",1
"Normalizes Burnt Skin: There is no substitute for potatoes to normalize skin that gets tanned after sun exposure all day long. In this case, mixing the potato powder with water and keeping it in the fridge for a while, applying the cold potato on the skin will get great benefits. Potato juice can also be applied in this case.",1
"Due to stress and environmental pollution, many people start to develop facial wrinkles at an early age. Along with this, skin wrinkles and beauty decrease. Potato juice is very beneficial in this case. Vitamin C and antioxidants present in potatoes play a special role in this. If you make potato juice or paste and apply it on your face for at least 20 minutes, wrinkles are reduced a lot.",1
"To remove sunburn, you can mix potato powder with water or cut potato and apply it directly on the sunburn or apply its juice. The burning sensation will be completely gone. Cut a potato and squeeze it on the affected area to treat insect bites, itching and rashes. Do it a few times a day, it will heal quickly",0
"High blood pressure increases due to various reasons including tension, digestive disorders. Potatoes help reduce high blood pressure. Because potatoes contain vitamin 'B' and vitamin 'C'. However, potatoes cannot be eaten if high blood pressure is increased due to diabetes.",0
** Potatoes contain considerable amount of fiber. Fiber helps reduce bad cholesterol.,0
"** Carbohydrates in potatoes maintain good glucose levels in the body. As a result, the brain is active.",0
"** Potatoes are rich in magnesium. Magnesium prevents the accumulation of excess calcium in the kidneys and other tissues of the body. As a result, there is no risk of kidney stones.",0
"** Potatoes are very useful in reducing stomach ache, indigestion. Vitamin 'C', potassium, vitamin 'B6' in potato improves digestion. Potatoes are very beneficial for those who have digestive problems or when children cannot digest food easily.",0
"** Potatoes are also effective in the problem of mouth ulcers. If the skin burns, you can apply mashed potatoes. Apart from this, potassium, magnesium, zinc in potatoes are good for the skin. Mashed potatoes and mixed with a little honey can be used as a face pack. Removes acne and blemishes. Boiled potatoes can be used to soften and clean the rough skin of elbows and hands.",0
The ingredients present in the seeds of potal purifies the blood. It is rich in anti-oxidants. Pumpkin seeds can remove toxins from the body.,0
"Scientists say that certain components of potal seeds boost the immune system. As a result, fever-cold-cough also decreases.",0
"Even for those suffering from constipation, potal and its seeds are beneficial. Regular consumption of potal can reduce this problem to some extent.",0
Potal lowers cholesterol and blood sugar levels. The same is done by potal seeds. Cholesterol and blood sugar levels are very much under control when these seeds are in the body.,0
"Potal is also effective in reducing digestive problems. For this, grind the pods with seeds and mix them with coriander leaves. Soak in little water and drink 3-4 times a day. Digestive problems will be reduced.",0
"Although there are benefits of eating potal seeds, it is important to note that its husk or outer covering is quite tough. It is better to avoid it but there is not much harm.",0
"May alleviate the symptoms of a cold. Ginger tea is a great choice at the onset of a cold. Being diaphoretic, it encourages perspiration and can therefore be used to treat feverish conditions such as influenza or cold. The fresh root (as opposed to dried powder) also appears to have antiviral effects.",0
May soothe mild nausea and morning sickness,0
"Ginger root has also been anecdotally reported to reduce the symptoms associated with motion sickness, including dizziness, nausea, vomiting and cold sweats. This could extend to people undergoing surgery and chemotherapy-related nausea, though further studies are required. Ginger has most widely been used to treat the nausea and vomiting associated with mild pregnancy sickness. However, check with your GP or midwife to ensure it is appropriate for you.",0
"May relieve pain. Many of the curative properties of ginger relate to its potent anti-inflammatory qualities. These effects appear to be relevant for topical use, with studies supporting the use of a ginger compress for relieving osteoarthritis symptoms. Topical applications may also stimulate circulation and soothe burns.",0
Ginger Juice Benefits:Anti Inflammatory: One of the most effective uses of ginger is that it acts as an anti-inflammatory agent that helps reduce joint inflammations. A study shows that people who consume ginger juice have less pain and other inflammatory diseases as it contains antioxidants which help to increase the flow of fresh blood by removing harmful impurities in the body.,0
"Prevents Cancer: Ginger acts excellently for preventing cancer and also killing the cancer causing cells. In a study, it was found that ginger slows down the growth of breast cancer cells.",0
Blood Pressure: Ginger acts as a blood thinner and reduces blood pressure in people instantly. You can have ginger juice with a few drops of honey in order to make it tasty.,0
"Reduce Pain: Ginger helps prevent all kinds of aches such as tooth ache and it also helps cure migraines that are becoming more common each passing day. As ginger acts as an anti-inflammatory agent, it does not allow blood vessels to get inflamed and thus it helps increase the flow of blood to the body and cures the pain.",0
"Digestion: Ginger acts as an active agent for digestion. Ginger juice helps relive from various digestive issues. It speeds up the movement of food from the stomach to the small intestines. By consuming ginger, one can be less prone to getting stomach pains or any other digestive problems. It clears the stomach of all impurities thereby helping the people who suffer from motion sickness.",0
Arthritis: Ginger helps cure arthritis as it acts as an anti-inflammatory agent that helps reduce swelling and inflammation in people suffering from thyroid or arthritis,0
Lowers Cholesterol: Ginger is a great agent for reducing cholesterol as it as it helps remove the blockages in the flow of blood vessels which could lead to heart attacks.,0
"Cold: Ginger is one of the oldest cures for cold, nausea and flue as it has anti-viral and anti fungal properties.  It cures cold and provides instant relief and also kills the bacteria that causes cold and ensures that it doesn’t return.",0
"Ginger juice for hair care: If you want to have long and shiny hair, you should consume ginger juice regularly. It can also be applied on the scalp for good results.  Just make sure that when you are applying it to your scalp, the consistency of water should be less. Ginger acts as a good conditioner to your hair; it also helps to reduce dandruff and speeds up hair growth. When ginger juice is applied to your hair, it creates irritation on your scalp which stimulates the flow of blood.",0
ব্রণ: আদার রস খাওয়ার সময় ব্রণ বা পিম্পল কমাতে সাহায্য করে এবং এটি ভবিষ্যতে ব্রণ হওয়া প্রতিরোধ করে কারণ এটি একটি প্রদাহ বিরোধী এজেন্ট হিসাবে কাজ করে।,0
Garlic cleanses the blood.,1
Garlic acts as a natural antibiotic in our body.,1
Pickled garlic is not only for taste but also very beneficial for health.,1
Garlic works well in solving stomach problems.,1
Garlic controls high blood pressure.,1
Benefits of Garlic It is helpful in maintaining blood circulation and low cholesterol. Many heart diseases go away on their own because of these features. Eating a raw garlic clove every morning is beneficial for keeping the heart healthy. The use of garlic is also very beneficial in controlling high blood pressure.,1
"Toothache- If you suffer from toothache, chewing cloves will reduce the pain.",0
Nausea – Taking cloves by mouth or mixing a few drops of clove oil with water will relieve your nausea.,0
Flu – Add 10 drops of clove oil and honey to lukewarm water and consume it. Will work in viral fever.,0
"Stress- Clove relieves stress. Helps to relax the five senses. You can make flavored tea by mixing cloves with basil leaves, mint leaves and cinnamon.",0
"Cold-Cough- Cold, cough can be relieved by eating cloves. Phlegm is removed. Bad breath is also removed.",0
The flower buds of evergreen cloves are cloves or long. Cloves have a sweet aroma thanks to a compound called 'eugenol' in them. This spice is very useful as a medicine but sometimes it can become a cause of danger.,0
"Cloves strengthen the immune system in the body in addition to building the immune system against colds and coughs. Apart from ensuring the health of teeth, gums, it can increase body temperature in cold weather.",0
"Apart from taking care of the body, cloves can also add flavor to cooking. But eating too much clove can be dangerous for your health, say experts.",0
"There are many benefits of eating cloves. For example, the nigericin component of cloves works great in lowering blood sugar levels. So diabetic patients can make a habit of eating cloves to control this disease.",0
"Clove oil is very effective for sinus headaches. Apart from this, its oil massage is very beneficial for chest pain. It is very beneficial in toothache due to its anti-bacterial and anti-inflammatory properties.",0
"You can regularly gargle with clove water for tooth and gum pain. Apart from this, stomach ulcers can be caused by any number of reasons.",0
"If you have this problem, you can eat two cloves every day. Because, this clove helps in the production of mucus in the stomach. This mucus acts as a shield to protect the stomach from infection.",0
"However, to get the benefits of cloves, you should not eat large amounts of cloves. Studies have shown that many people put cloves in their mouths for no reason, which will bring more harm than good to the body in your life.",0
"People with low blood sugar levels should never eat too much cloves. Because, in their case, excessive consumption of cloves can cause hyperglycemia.",0
"Many doctors believe that in those with allergy problems, consuming cloves may cause rashes or itching. In such situations, experts advise to refrain from consuming cloves.",0
"Beneficial for skin – Bay leaves are beneficial in building and improving the skin. That is why bay leaves are used in beauty products and soaps. As it has antibacterial properties, it helps remove dirt from the skin. Using bay leaf cream protects the skin from mosquito and insect bites",0
"Beneficial for Cholesterol – Tej leaves are more beneficial in reducing cholesterol levels. According to some studies, consumption of bay leaf extract can normalize cholesterol levels. Good cholesterol is promoted and bad cholesterol is reduced. You know that normal cholesterol is good for heart health. Elevated cholesterol directly affects heart health.",0
"Beneficial for hair – Tej leaves are beneficial for healthy hair. It strengthens hair roots and prevents hair breakage. It has anti-fungal, anti-bacterial properties that help protect hair from infection. If you want to strengthen your hair, you can use bay leaves.",0
"Beneficial in preventing fungal infections – As mentioned earlier, bay leaves have a good amount of antibacterial and anti-fungal properties. It helps protect the body from yeast infections. Apart from this, it is effective in preventing skin infections. Some experts claim that using bay leaf oil in their studies prevents infections.",0
"Beneficial for diabetes – According to some studies, tej leaves may be beneficial for diabetics. Bay leaves help in raising blood sugar levels in the body. Especially for type 2 diabetes. However, if diabetes is already under control, use of bay leaves may be harmful. If you want to use bay leaves in food, you can consult your doctor.",0
Bay leaf is a type of aromatic spice which leaves are green in raw condition and when this green leaf is cooked it turns brown in color.,1
Bay leaf contains vitamin 'E' and 'C'. Bay leaves contain folic acid and various minerals.,1
"Bay leaves to improve digestion: Bay leaves help in digesting the nutrients of food and speed up the digestion process of the body. The spiciness of bay leaf adds flavor to food. Apart from this, bay leaves are used in the treatment of flatulence, indigestion, heartburn etc.",0
"To avoid colds:- Due to the ""antimicrobial"" (antimicrobial) content of bay leaf, it plays a helpful role in reducing various inflammations of the respiratory system, and to get rid of cold, phlegm, phlegm, bay leaves can be boiled and consumed.",0
"Bay leaf to reduce the risk of heart disease:- Instead of pepper, the risk of heart disease can be reduced by bringing spiciness to the curry with bay leaf. Because the various antioxidant elements present in bay leaves help a lot in keeping the health and heart healthy.",0
"Bay leaves to control diabetes:- Bay leaves help in reducing blood glucose and cholesterol levels. If you take 1.5 to 3.5 grams of bay leaves per day, insulin levels are very much under control.",0
To reduce various pains in the body:- Bay leaf paste mixed with linseed oil and olive oil and massaged on various painful joints or tense muscles of the body helps in relieving pain.,0
"Besides, bay leaves play a role in preventing the growth of cancer cells and kidney stones. Applying steam of bay leaves soaked in boiling water on the face can be beneficial to maintain youthful skin.",0
"To reduce body odor, soak bay leaf in warm turmeric water and bathe with it.",0
Fresh bay leaves can be rubbed a few times a week to get brighter teeth.,0
Bay leaves are very useful in reducing dandruff and hair loss. Washing hair with bay leaf boiled water reduces dandruff and stops hair loss.,0
Studies have shown that bay leaf tea is highly effective in treating type 2 diabetes and improves insulin sensitivity.,1
Bay leaf tea improves digestion. It is also very effective in preventing constipation.,1
"Bay leaf tea is very good for the heart, as it contains potassium, antioxidants and iron. Also, these nutrients help lower blood pressure.",1
"This tea contains vitamin C, so it strengthens the immune system. It also has anti-bacterial properties, thus keeping infections at bay.",1
Bay leaves help reduce stress.,1
Bay leaf tea is also used to treat cancer.,1
Its anti-inflammatory properties protect the body from inflammation.,1
"Garam masala helps release various beneficial juices from the stomach which aids in digestion. Among the garam masalas, cloves and cumin help prevent acidity. Pepper and cardamom help in digestion.",0
"Garam masala is rich in phytonutrients, which help in boosting metabolism. Various minerals present in garam masala help in improving the functioning of various body organs.",0
Garam masala contains a lot of antioxidants that help prevent skin problems and also help reduce inflammation.,0
"Garam masala improves digestion, helps reduce flatulence, bloating and even nausea.",0
"Among the hot spices, cloves and cardamom prevent bad breath.",0
"Many people think that garam masala harms digestion. . There is no reason for a healthy Person not to eat garam masala. But if someone has certain physical problems like ulcers, then it is better to avoid some hot spices.",0
It improves digestion. This blend of spices increases the secretion of digestive juices to such an extent that indigestion and gas heartburn subside in no time.,0
"It prevents cancer. Although it may sound surprising, several studies have shown that increasing the use of hot spices reduces the risk of cancer cells in the body.",0
"It also plays a role in diabetes. Does the blood sugar level go up and down? Then hot spice is your best friend. In fact, cinnamon is used in this spice. Cinnamon plays a role in controlling the blood sugar level. 2 This garam masala is beneficial for vision.",0
There is no comparison to ghee in increasing nerve capacity. Strengthens the body and improves brain power. Ghee's Omega 6 and Omega 3 fatty acids help improve the body and mind. Studies have found that these two types of acids play a special role in preventing dementia. The benefits of ghee to improve memory are immense.,0
"Benefits of Dragon Fruit-Dragon is a fruit rich in vitamins and minerals. Its calorie level is relatively low. However, it contains sufficient amount of dietary fiber. One cup of dragon fruit contains 136 calories, 3 grams of protein, zero fat, 7 grams of fiber, 8 percent iron, 18 percent magnesium, 9 percent vitamin C, and 4 percent vitamin E.",0
"However, hearing the name dragon reminds me of dragons. But this dragon fruit, rich in vitamins, minerals and antioxidants, helps in digestion. Apart from keeping blood sugar levels under control, this fruit also plays an important role in reducing the risk of cancer. Currently, the demand for dragon fruit is increasing in Bangladesh, so the production is also increasing.",1
"This fruit is beneficial for pregnant women. It contains vitamin B, folate and iron, so it is an ideal fruit for pregnant women. B vitamins and folate help prevent birth defects in the newborn and provide energy during pregnancy.",1
"This fruit is good for digestion. It helps to increase the good bacteria in the body, which also improves digestion. Also, being rich in fiber, it helps in keeping the digestive system healthy",1
"If you have chicken pox, you will get benefits by mixing a spoonful of honey with pepper powder.",0
"Drink plenty of water. And to maintain moisture in the body, you can eat various fruit juices, butter-milk, lachi and soup if you have chicken pox.",0
Experts also advise chicken pox sufferers to eat adequate amounts of fruits and vegetables,0
"If you have chicken pox, you should eat fruits rich in vitamin C. which fights infection.",0
"Rich in antibacterial, antimalarial, antiviral and antifungal properties, neem leaves cure chicken pox. Drinking fresh neem leaf juice is beneficial.",0
"Black cumin can be eaten for cold and cough, blocked nose, sore throat and fever. Black cumin is also useful in reducing physical weakness.",0
Black cumin enhances sex hormone activity and neuroregenerative function.,0
"By increasing immunity, prepare the body to prevent corona by eating black cumin.",0
Phosphorus in black cumin increases the body's immune system. You can eat black cumin to prevent any bacterial infection in the body.,0
